des,study,TRT,trt,conc,ams,dic,gly,run,rep,ph,chph,perch
1X Diflexx + AMS,3,14,28,1x,yes,DGA+CYP,none,2,2,6.3,-1.153333,0.15474057
1X Diflexx + AMS,3,14,28,1x,yes,DGA+CYP,none,2,3,6.31,-1.143333,0.153398889
4X Diflexx Duo + AMS,3,15,29,4x,yes,DGA+TMB,none,1,1,3.28,-4.173333,0.559928424
4X Diflexx Duo + AMS,3,15,29,4x,yes,DGA+TMB,none,1,2,3.26,-4.193333,0.562611787
4X Diflexx Duo + AMS,3,15,29,4x,yes,DGA+TMB,none,1,3,3.26,-4.193333,0.562611787
4X Diflexx Duo + AMS,3,15,29,4x,yes,DGA+TMB,none,2,1,3.26,-4.193333,0.562611787
4X Diflexx Duo + AMS,3,15,29,4x,yes,DGA+TMB,none,2,2,3.27,-4.183333,0.561270106
4X Diflexx Duo + AMS,3,15,29,4x,yes,DGA+TMB,none,2,3,3.26,-4.193333,0.562611787
1X Diflexx Duo + AMS,3,15,30,1x,yes,DGA+TMB,none,1,1,5.33,-2.123333,0.284883689
1X Diflexx Duo + AMS,3,15,30,1x,yes,DGA+TMB,none,1,2,5.33,-2.123333,0.284883689
1X Diflexx Duo + AMS,3,15,30,1x,yes,DGA+TMB,none,1,3,5.34,-2.113333,0.283542007
1X Diflexx Duo + AMS,3,15,30,1x,yes,DGA+TMB,none,2,1,5.31,-2.143333,0.287567052
1X Diflexx Duo + AMS,3,15,30,1x,yes,DGA+TMB,none,2,2,5.25,-2.203333,0.295617142
1X Diflexx Duo + AMS,3,15,30,1x,yes,DGA+TMB,none,2,3,5.3,-2.153333,0.288908734
4X Status + AMS,3,16,31,4x,yes,NA+DIF,none,1,1,7.37,-0.083333,0.011180636
4X Status + AMS,3,16,31,4x,yes,NA+DIF,none,1,2,7.36,-0.093333,0.012522317
4X Status + AMS,3,16,31,4x,yes,NA+DIF,none,1,3,7.4,-0.053333,0.007155591
4X Status + AMS,3,16,31,4x,yes,NA+DIF,none,2,1,7.25,-0.203333,0.027280815
4X Status + AMS,3,16,31,4x,yes,NA+DIF,none,2,2,7.29,-0.163333,0.021914089
4X Status + AMS,3,16,31,4x,yes,NA+DIF,none,2,3,7.28,-0.173333,0.02325577
1X Status + AMS,3,16,32,1x,yes,NA+DIF,none,1,1,7.45,-0.003333,0.000447182
1X Status + AMS,3,16,32,1x,yes,NA+DIF,none,1,2,7.45,-0.003333,0.000447182
1X Status + AMS,3,16,32,1x,yes,NA+DIF,none,1,3,7.45,-0.003333,0.000447182
1X Status + AMS,3,16,32,1x,yes,NA+DIF,none,2,1,7.33,-0.123333,0.016547362
1X Status + AMS,3,16,32,1x,yes,NA+DIF,none,2,2,7.34,-0.113333,0.01520568
1X Status + AMS,3,16,32,1x,yes,NA+DIF,none,2,3,7.38,-0.073333,0.009838954
4X Clarity + Roundup Powermax + AMS,3,17,33,4x,yes,DGA,GLY-K,1,1,4.59,-2.863333,0.38416813
4X Clarity + Roundup Powermax + AMS,3,17,33,4x,yes,DGA,GLY-K,1,2,4.54,-2.913333,0.390876538
4X Clarity + Roundup Powermax + AMS,3,17,33,4x,yes,DGA,GLY-K,1,3,4.58,-2.873333,0.385509812
4X Clarity + Roundup Powermax + AMS,3,17,33,4x,yes,DGA,GLY-K,2,1,4.66,-2.793333,0.374776358
4X Clarity + Roundup Powermax + AMS,3,17,33,4x,yes,DGA,GLY-K,2,2,4.65,-2.803333,0.37611804
4X Clarity + Roundup Powermax + AMS,3,17,33,4x,yes,DGA,GLY-K,2,3,4.64,-2.813333,0.377459722
1X Clarity + Roundup Powermax + AMS,3,17,34,1x,yes,DGA,GLY-K,1,1,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax + AMS,3,17,34,1x,yes,DGA,GLY-K,1,2,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax + AMS,3,17,34,1x,yes,DGA,GLY-K,1,3,4.9,-2.553333,0.342575999
1X Clarity + Roundup Powermax + AMS,3,17,34,1x,yes,DGA,GLY-K,2,1,4.92,-2.533333,0.339892636
1X Clarity + Roundup Powermax + AMS,3,17,34,1x,yes,DGA,GLY-K,2,2,4.91,-2.543333,0.341234318
1X Clarity + Roundup Powermax + AMS,3,17,34,1x,yes,DGA,GLY-K,2,3,4.93,-2.523333,0.338550954
4X Diflexx + Roundup Powermax + AMS,3,18,35,4x,yes,DGA+CYP,GLY-K,1,1,4.43,-3.023333,0.405635036
4X Diflexx + Roundup Powermax + AMS,3,18,35,4x,yes,DGA+CYP,GLY-K,1,2,4.42,-3.033333,0.406976718
4X Diflexx + Roundup Powermax + AMS,3,18,35,4x,yes,DGA+CYP,GLY-K,1,3,4.42,-3.033333,0.406976718
4X Diflexx + Roundup Powermax + AMS,3,18,35,4x,yes,DGA+CYP,GLY-K,2,1,4.35,-3.103333,0.416368489
4X Diflexx + Roundup Powermax + AMS,3,18,35,4x,yes,DGA+CYP,GLY-K,2,2,4.34,-3.113333,0.417710171
1X Diflexx + Roundup Powermax + AMS,3,18,36,1x,yes,DGA+CYP,GLY-K,1,1,4.72,-2.733333,0.366726269
1X Diflexx + Roundup Powermax + AMS,3,18,36,1x,yes,DGA+CYP,GLY-K,1,2,4.73,-2.723333,0.365384587
1X Diflexx + Roundup Powermax + AMS,3,18,36,1x,yes,DGA+CYP,GLY-K,1,3,4.76,-2.693333,0.361359542
1X Diflexx + Roundup Powermax + AMS,3,18,36,1x,yes,DGA+CYP,GLY-K,2,1,4.68,-2.773333,0.372092995
1X Diflexx + Roundup Powermax + AMS,3,18,36,1x,yes,DGA+CYP,GLY-K,2,2,4.7,-2.753333,0.369409632
1X Diflexx + Roundup Powermax + AMS,3,18,36,1x,yes,DGA+CYP,GLY-K,2,3,4.68,-2.773333,0.372092995
4X Diflexx Duo + Roundup Powermax + AMS,3,19,37,4x,yes,DGA+TMB,GLY-K,1,1,4.17,-3.283333,0.440518759
4X Diflexx Duo + Roundup Powermax + AMS,3,19,37,4x,yes,DGA+TMB,GLY-K,1,2,4.17,-3.283333,0.440518759
